Name,Year,IMDb Rating,Genre,Director,Duration (mins),Language,Box Office (Millions),Production Company,Lead Actor,Lead Actress,Country,Number of Votes,Budget (Millions),Is Sequel
Military see,1989,4.7,Comedy,Matthew Maynard,145,French,564.75,Rice LLC,Grant Bell,Omar Roach,Panama,712818,168.18,True
Artist low week,1979,7.7,Drama,Matthew Dalton,106,Spanish,647.93,Carter and Sons,Jordan Davis,Brandi Jennings,Macedonia,156708,72.5,True
Beyond else,1992,3.8,Horror,Jennifer May,155,Spanish,261.17,Terry Inc,Anthony Roberts,Terry Edwards,Israel,673247,128.52,False
Must air spend,2017,1.6,Sci-Fi,Benjamin Holt,143,German,18.18,Kelly and Sons,Ms. Marie Jones DDS,Andrew Dean,Sudan,23120,98.97,False
May fund opportunity,2013,6.3,Mystery,Jordan Patterson,174,Spanish,412.25,"Osborne, Pierce and Grant",Patricia Rodriguez,Ashley Heath,Cape Verde,815950,85.49,True
Imagine ten pressure,1987,3.2,Thriller,Laura Price,83,German,670.7,"Richardson, Martinez and Flores",Jennifer Yang,Mark Hamilton,Equatorial Guinea,927563,168.95,True
Model sense also,1991,6.1,Action,Benjamin Holt,132,Hindi,330.25,Hernandez PLC,Megan Bradford,Michael Doyle,Ethiopia,798363,94.03,False
Thus official,2017,5.2,Thriller,Anthony Pierce,85,Spanish,302.78,Robinson LLC,Gordon Watts,Shelly Jackson,Montserrat,810270,155.74,False
Avoid myself nothing,1981,8.1,Comedy,Rachel Mueller,139,Mandarin,923.42,Cameron PLC,Mr. Gregory Nielsen,Victoria Raymond,Burundi,685169,200.42,False
Then community mother,2023,9.4,Thriller,Kathy Mcdaniel,108,Japanese,891.55,Rogers-Luna,Kayla Burch,Pamela Taylor,Grenada,844468,198.49,True
Ready view,2010,7.3,Action,Frank Neal,176,Spanish,152.38,Anderson LLC,Jay Wise,Andrew Torres,Macao,535809,287.65,True
Scientist newspaper,1989,4.2,Sci-Fi,Donald Stephens,125,Spanish,676.47,Lee-Hart,Kevin Mcgee,Jennifer Young,Ecuador,110119,151.19,False
Realize reach every,1991,1.5,Horror,Frank Neal,150,Spanish,343.38,Moreno Ltd,Eric Andrade,Warren Garcia,Swaziland,583531,286.15,True
Figure probably national themselves,2010,4.9,Horror,Leonard Murphy,117,Spanish,713.21,Saunders-Huerta,Debbie Davis DDS,Eric Roberts,Liechtenstein,470230,272.85,True
Nearly view term,2019,3.0,Action,Anna Freeman,115,Korean,962.04,Rhodes Ltd,David Jones,Whitney Lee,Turkey,880640,293.89,False
Blue available require least,1991,1.4,Action,Arthur Moore,109,English,747.35,Munoz-Huang,Richard Obrien,Christopher Merritt,Kazakhstan,86782,236.81,True
Dinner ok body,1997,4.9,Horror,Carl Reyes,121,Mandarin,349.1,Campbell-Martinez,Andrew Allen,Rhonda Fowler,Cyprus,25416,173.82,True
Assume total in,2013,3.4,Mystery,Mark Newman,124,Japanese,656.93,Petty-Dixon,Nicholas Santos,Rachel Raymond,Mongolia,131409,203.94,False
Again while during,2006,8.1,Action,Jeremy Bruce,154,English,753.04,Merritt-White,Timothy Parker,Heather Gomez,Micronesia,779832,83.36,False
Despite about office,2004,2.9,Mystery,Jorge Diaz,137,Japanese,595.25,"Pena, Jenkins and Brown",Gregory Robertson,Renee Ho,Venezuela,220216,254.94,True
Senior respond,2004,4.7,Fantasy,Emily Doyle,105,French,633.7,"Campbell, Pope and Williams",Jamie Deleon,Morgan Brown,Thailand,917151,24.8,False
Another six leg,1993,4.9,Action,Evan Mckee,172,English,434.36,Horn-Vasquez,William Smith,Taylor Nelson,Malawi,758984,114.03,True
Whole,1992,6.5,Drama,Frank Neal,133,Japanese,748.64,"Chen, Gonzales and Francis",Erika Blevins,Danielle Wilson,Micronesia,703576,274.86,False
Opportunity side citizen,1985,8.8,Sci-Fi,Charles Coleman,168,German,845.17,Thompson-Brown,Madeline Stewart,Allison Miller,Singapore,767509,135.17,False
Cut development nothing,1988,2.5,Drama,Audrey Graham,104,Spanish,742.84,Caldwell-Olsen,Jeremy Gates,John Anderson,Gambia,846830,124.7,False
Include agreement,1982,4.4,Horror,Randall Alvarez,167,Spanish,552.22,"Mcdaniel, Smith and Rodriguez",Charles Nguyen,Nicholas Stanton,Iran,366025,192.33,True
Character,2005,7.7,Drama,Martha Alvarez,128,Korean,891.31,Porter PLC,Danny Moore,Olivia Wilkerson,United Arab Emirates,502112,58.49,False
Result write,2019,9.1,Comedy,Ashley Roberson,147,Korean,957.48,Mckenzie PLC,Jason Hall,Jesse Jenkins,Albania,684822,48.57,False
Institution whose assume,2017,2.3,Action,Matthew Maynard,159,English,252.74,Mcdowell-Davila,Michael Rice,Isaiah Turner,Afghanistan,102909,236.91,True
Even go,1999,2.7,Sci-Fi,Steven Woodward,167,German,839.64,Clark LLC,Crystal Potter,Jennifer Gutierrez,Anguilla,383012,198.01,False
Citizen,1979,4.3,Mystery,Christine Williams,110,Korean,133.7,Flores Group,William Parsons,Stephanie Butler,Myanmar,156941,232.83,False
In industry,2007,1.7,Comedy,Matthew Maynard,161,French,335.84,"Espinoza, Graham and Bradshaw",Shannon May,Dawn Owens,Korea,19297,246.53,False
Imagine claim,1994,8.5,Drama,Renee Williams,128,French,267.16,Frazier and Sons,James Smith,Jenny Olson,Martinique,599604,240.95,True
Though travel newspaper,2006,8.2,Thriller,Audrey Graham,102,Japanese,229.66,Bishop-Robinson,Amy Gutierrez,Brandy Washington,Madagascar,643551,249.66,True
Brother different really,1976,8.4,Thriller,Russell Palmer,140,French,39.32,Smith-Roberts,Sara York,Angie Mitchell,Jamaica,826282,249.48,True
Trouble represent relationship,1984,9.3,Romance,Christine Thomas,102,English,983.84,Rogers-King,Julia Hudson,Danielle Johnson,Tuvalu,193834,113.54,True
Though science,2020,2.2,Animation,Charles Coleman,98,German,247.01,Ellis Ltd,Melanie Murphy,Erik Miranda,Ghana,804494,248.0,False
Travel anyone,2019,8.1,Sci-Fi,Daniel Carter,106,Japanese,91.81,Mathis and Sons,Brittany Johnson,Nancy Castro,Mozambique,511086,223.78,True
Bill mission situation,1990,1.4,Animation,Kristen Byrd,133,Spanish,974.82,Miller-Cochran,Michael Mcdowell,Mr. Justin Clayton,Pakistan,12224,94.19,False
Machine budget,2011,6.0,Comedy,Zachary Baxter,116,Spanish,440.37,Brewer and Sons,Rachel Rodgers,Jonathan Ferguson,Pitcairn Islands,266486,2.45,True
Why investment,2016,4.6,Romance,John Leonard,143,Japanese,20.37,Morris-Stevens,Larry Pineda,Christina Garcia,Saudi Arabia,579818,40.21,False
Choice beat very,2012,8.3,Romance,Jennifer Jones,171,Mandarin,101.76,Bates-Cabrera,Mark Romero,Daniel Johnson,Switzerland,215145,179.79,True
Yeah or deep,2013,9.1,Mystery,Darren Terry,128,Korean,975.81,"Moody, Ferguson and Butler",Erica Carrillo,Diana Woods,Russian Federation,426226,268.77,False
Own energy north,2016,3.8,Mystery,Karen Martinez MD,127,French,431.7,Jones LLC,Carol York,Amber Carroll,Georgia,242250,66.62,False
Him artist,1970,3.7,Horror,Jordan Patterson,152,Hindi,230.12,"Trujillo, Kelly and Velazquez",Robin Moore,Joe Lopez,Germany,417816,87.87,True
Foot prove,1972,1.9,Sci-Fi,Randall Alvarez,99,Spanish,105.02,Mathis Inc,Clarence Cardenas,Kimberly Hubbard,Iceland,320147,223.99,False
Most maybe win,2002,1.1,Fantasy,Aaron Howard,96,Japanese,71.22,"Allen, Hernandez and Stone",Blake Hebert,Richard Liu,Macao,798593,217.87,True
Major language her country,2023,5.7,Animation,Julie Wright,125,German,1.29,Harris Group,Jonathan Rodriguez,Jose Gordon,Kuwait,22039,215.43,False
Fill treatment low,2021,3.6,Animation,Patricia Vaughn,117,Hindi,876.08,"Weaver, Parks and Jackson",Kelly Hopkins,Angela Parker,Nicaragua,838271,106.79,False
Skin defense,1990,2.6,Sci-Fi,Chad Brooks,133,Hindi,881.39,"Brown, Frost and Thomas",Virginia Howe,Calvin Barton,Saint Helena,128921,132.8,True
Politics at,2008,9.8,Fantasy,Eric Escobar,92,German,761.0,Thomas-Cherry,Christina Paul,Mr. Bradley Watson DDS,Liechtenstein,251066,110.94,False
Sometimes billion,2004,4.8,Mystery,Cory Smith,116,Japanese,610.52,"Lee, Price and Cline",Eric Ramirez,David Washington,Ethiopia,27959,157.8,False
Modern hard,2015,3.5,Animation,Jennifer May,145,French,611.54,"Lee, Grant and Williamson",Dawn Buchanan,Carolyn Williams,Australia,42657,46.64,True
Not any role,1973,4.7,Horror,Stanley Morris,88,French,798.82,Torres LLC,Sherry Walton,Audrey Stone,Venezuela,90913,33.53,True
Draw sometimes realize,2004,4.1,Thriller,Jordan Patterson,85,Hindi,967.51,"Frazier, Oconnell and Frye",Regina Shields,Erika Ramos,British Virgin Islands,488286,50.8,True
Else similar,2007,1.2,Sci-Fi,Yesenia Leon,143,Japanese,930.42,"Hawkins, Harrington and Swanson",Gary Wilson,Christina Moreno,Denmark,292059,247.65,True
Political,2014,7.4,Thriller,Laura Price,142,German,731.54,Carroll-Smith,Valerie Mcguire,Thomas Torres,Panama,845480,218.87,True
Statement,1997,7.9,Comedy,Christina Benitez,89,Hindi,701.93,White-Reynolds,Hayley Cisneros,Mary Lee,United Arab Emirates,482417,246.62,True
Really wish,2020,6.1,Drama,William Smith,172,Korean,461.71,Pierce-Fuller,Michael Fitzgerald,Kristen Burch,New Zealand,483271,51.12,False
Too tonight brother,1997,9.7,Action,Kyle Taylor,108,Spanish,89.29,"Hendricks, Parker and Wagner",David Olson,Ernest Parker,Malaysia,134066,54.86,True
Specific remain share,1978,5.0,Romance,Charles Harrington,106,French,629.94,Maddox Ltd,Eric Russell Jr.,Lisa Sullivan,Angola,736993,174.37,False
Occur certain,2014,3.9,Mystery,Julie Wright,94,English,409.5,Decker-Harris,Rachel Jones,Frank Vazquez,Saint Lucia,475253,13.07,False
Offer recognize question,2014,4.4,Animation,Seth Jimenez,167,Korean,911.23,Long Inc,Mary Smith,Christopher Stewart,Samoa,543757,175.86,True
Trial dog visit,2002,7.2,Thriller,Devon Higgins,153,French,560.68,Cooke PLC,Brooke Lewis,Robert Hansen,Bhutan,737178,78.63,False
Writer against,1993,3.0,Sci-Fi,Elizabeth Andrews,126,English,184.56,Bird-Scott,Wendy Sanchez,Lisa Rodriguez,Afghanistan,730997,198.14,False
Movie government necessary,1993,4.0,Drama,Joseph Ramirez,169,Hindi,67.9,Johnson LLC,Holly Meyer,Michael Johnson,Paraguay,766054,163.58,False
By or,2001,8.8,Horror,Joseph Ramirez,112,Mandarin,31.74,"Evans, Freeman and Hill",Rebekah Griffith,Angela Davenport,Cambodia,25009,140.93,False
Firm dark social,1995,6.6,Animation,Kyle Taylor,161,Mandarin,989.25,"Page, Maldonado and Turner",Morgan Martin,Mr. Dakota Pratt,Central African Republic,60608,221.66,False
Food plant role,1993,4.5,Action,Michael Gonzales,138,Korean,612.46,Morris PLC,Jonathan Harmon,Julie Armstrong,Albania,155069,205.6,True
Bag,1996,1.2,Romance,Hannah Carpenter,143,German,883.18,Rice-Harris,Jacob Ramos MD,Troy Smith,Bosnia and Herzegovina,615693,109.27,False
Economy medical,1979,6.7,Fantasy,Jeffrey Rivas,150,French,726.06,"Thomas, Williams and Norris",Sandra Morrow,Sandra Hernandez,Sudan,977705,285.77,True
Social green,1993,5.1,Action,Emily Doyle,138,Japanese,656.26,"Rice, Allison and Murphy",Pamela Hebert,Victoria Garrett,Cocos (Keeling) Islands,239702,24.63,True
Read arrive suggest,2016,3.2,Romance,Cory Smith,171,German,849.0,Powers-Tucker,Brian Jones,Michael Hogan,Botswana,867510,128.52,False
Live prepare,1989,5.4,Mystery,Rebecca Clark,148,French,800.97,"Lee, White and Lewis",Cameron Bauer,Michael Miranda,Saint Helena,770248,248.68,True
Experience operation,2024,8.9,Mystery,Mark Powers,125,German,833.59,"Gallagher, Drake and Turner",Mark Friedman,Sheila Gentry,Egypt,219112,52.75,False
Mouth produce court,1974,4.5,Comedy,Martha Alvarez,127,Spanish,43.81,Lewis Group,Nicole Spencer,David Morales,Benin,969065,143.15,False
Sport hundred general,1999,1.1,Thriller,Joel Hanson,93,Mandarin,557.08,Hanson-Morales,Kristin Rodriguez,Gabriela Bird,Italy,946330,232.06,True
Exactly even,2012,1.5,Mystery,Jennifer Jones,175,Mandarin,473.45,Whitney-Rogers,Janet Cohen,Rebecca Brown,Bhutan,84431,119.44,True
Suggest recent,1985,4.9,Mystery,Tracy Freeman,84,Korean,96.68,"Bird, Brown and Garcia",William Johnson,Lori Garner,Jordan,589060,150.86,True
Cut measure somebody,1976,9.0,Mystery,Zachary Baxter,148,Mandarin,475.62,Carr-Lane,Brandon Hensley,Brad Rowe,Malawi,147475,213.99,False
Management health,2012,7.6,Action,Robert Cook,99,English,705.1,Haynes and Sons,Lindsay Todd,Christina Johnson,Montserrat,122520,153.15,True
Statement visit girl,2009,7.3,Drama,Hannah Carpenter,82,English,816.69,Cox PLC,Mr. David Sullivan,Colton Clark,Congo,625113,38.38,True
Successful little pay who,1983,9.0,Action,Michael Hernandez,110,English,983.52,Jones LLC,Timothy Moody,Alex Webb,Cyprus,796129,217.51,True
Money situation vote,1990,6.9,Thriller,Catherine Williams,166,Hindi,584.52,"Munoz, Whitehead and Odom",Anna Fox,Stephanie Francis,Russian Federation,370331,128.16,False
Girl,1997,9.7,Romance,Daniel Walker,166,Hindi,887.13,Carter PLC,William Hall,Lauren Jordan,Morocco,104780,256.82,False
Too large three,1974,6.8,Drama,Virginia Johnson,123,Spanish,14.58,Hernandez-Allen,Manuel Holden,Sherry Ballard,Romania,758643,276.29,False
Work or,2005,3.6,Action,Michelle Brown,102,Korean,779.2,Snow Inc,Kevin Alvarado,Henry Rodriguez,Dominica,589824,159.03,True
Risk yourself,1972,3.4,Comedy,Thomas Hernandez,108,Spanish,654.48,"Martinez, Melendez and Flores",Bridget Reid,Tammy Bell,Montenegro,439410,54.07,True
Attention board black,1996,6.2,Comedy,Dale Estrada,140,Korean,561.79,Williamson and Sons,Christopher Mitchell,Kelly Bowman,Comoros,447156,196.83,True
Somebody traditional,2006,8.7,Drama,Robert Cook,108,Korean,287.3,Wilcox Group,Kevin Hayes,Lisa Scott,Azerbaijan,609226,113.94,True
Under among good walk,1970,4.1,Mystery,Emily Allen,160,French,270.79,Taylor-Martin,Shannon Brooks,Christopher Stone,Egypt,522919,33.69,False
Shake again have,2006,1.9,Drama,Matthew Martin,97,English,920.17,Flynn-Campbell,Jennifer Lamb,Joanne Baker,Kenya,453496,182.2,True
Consumer,1994,9.2,Action,Zachary Castro,121,French,454.85,Morton Group,Lauren Ramirez,Matthew Adams,Madagascar,495895,14.94,True
Early teach,1974,2.0,Thriller,Sandra Smith,161,Korean,348.64,Owens and Sons,Dr. Nathaniel Snyder MD,Ian Vega,Congo,24094,282.96,False
Lay move staff,1997,5.1,Mystery,Jeremy Bruce,85,Mandarin,44.18,Weiss Group,Jason Adams,Ashley Carney,Chad,632777,263.34,False
Traditional imagine,2006,7.9,Sci-Fi,Jorge Diaz,130,Japanese,953.87,Bonilla LLC,Mary Brown,Jennifer Griffin,Tokelau,948635,52.77,True
Forward situation collection,1983,2.8,Horror,Wayne Melendez,133,Korean,860.87,Singh-Marshall,Jacqueline Anderson,Edward Rose,Iraq,366472,204.56,False
Discuss face deep,1997,2.8,Drama,Tamara Barber,158,French,415.67,White PLC,Cheryl Lewis,Christopher Walker,Lao People's Democratic Republic,63427,219.99,False
Book book event ability,1991,4.1,Sci-Fi,Miguel Adkins,125,Spanish,19.64,Mcdaniel-Beck,Sandra Wilson,Anna Edwards,Seychelles,586136,164.08,True
Go Congress,1982,1.4,Comedy,Tina Simon,130,Spanish,427.03,Stewart-Campbell,Ronnie Beasley,Keith Lopez,Cambodia,899068,272.06,False
Officer simply appear,1971,7.8,Sci-Fi,Jeffery Anderson,144,Spanish,684.01,"Chapman, Douglas and Hawkins",Anthony Lee,Brian Barnes,Grenada,153750,239.49,False
Rich read public,1979,5.9,Action,Brian Stone,157,Korean,842.26,Carpenter-Wilson,Dylan Dickson,Jason Caldwell,Central African Republic,865060,115.54,True
Knowledge far night,2002,3.1,Sci-Fi,Dale Moore,140,Mandarin,747.05,"Munoz, Alexander and Caldwell",Misty Williams,Alicia Golden,Ecuador,960233,82.74,True
Group enough black,2001,1.3,Drama,Erica Randall,100,Korean,657.05,Schmidt-Hart,Angela Ortiz,Brianna Stanley,Isle of Man,794864,95.32,False
Tv bad account,2012,8.6,Horror,Christine Williams,136,English,247.1,Lopez-Holmes,Steven Hill,Lisa Kim,Liechtenstein,488081,230.5,False
After include,2018,4.7,Action,Alicia Thomas,157,Mandarin,757.43,"Campbell, Martin and Walker",Anna Serrano,David Hahn,Trinidad and Tobago,34190,41.24,True
Form either clearly,1975,6.8,Mystery,Michael Bauer,128,French,58.35,Hernandez Group,Richard Romero,Matthew King,Indonesia,223608,248.02,False
Travel something allow,1975,5.9,Horror,Zachary Evans,103,Japanese,437.26,"Lambert, Wood and Turner",Leslie Vasquez,Nicole Lowe MD,Brunei Darussalam,748016,16.17,True
Recent investment oil,1977,4.2,Comedy,Michael Hernandez,134,Japanese,931.08,Adams-Wright,Robin Hurst,Erica Williams,Botswana,179170,51.74,True
Value enter,1986,7.1,Sci-Fi,Kristen Byrd,134,Hindi,470.53,"Rodriguez, Oneill and Tanner",Dale Nixon,Crystal Roberson,Tuvalu,802294,163.49,False
No garden energy,1998,3.7,Comedy,John Reese,162,Spanish,456.43,Pennington Inc,Ann Sharp,Jamie Jones,Iceland,145200,63.9,True
Entire next tend,1995,2.6,Fantasy,Phillip Perez,170,French,391.49,Francis-Rice,Monica Padilla,Courtney Campbell,United States Virgin Islands,172415,42.03,False
Modern expect,2007,3.1,Animation,Eric Escobar,156,Spanish,958.22,Gardner-Colon,Andrew Rodriguez,John Hoffman,Mauritius,21056,127.76,True
Probably against other,2006,6.6,Action,Christine Williams,155,English,12.37,Simon Ltd,Kristen Marquez,Michael Monroe,Croatia,882341,30.46,False
Improve sing,1989,2.0,Sci-Fi,David Ashley,136,Hindi,263.0,Rice PLC,Martin Thompson,Kelly Foster,Norfolk Island,956968,100.95,False
Trouble financial free,1984,5.5,Horror,David Ashley,141,German,408.72,"Gray, Collins and Huffman",Katherine Morgan,Dawn Bird,Uganda,710052,168.78,False
Sport,1986,5.6,Fantasy,Tricia Cook,120,Korean,98.55,Murphy-Clark,Jonathan Brown,Amy Whitehead,Holy See (Vatican City State),677398,171.72,False
Relationship place,1997,1.6,Horror,Hayden Mckinney,167,Hindi,980.57,"Jones, Smith and Hart",Denise Brooks,Melissa Kim,Russian Federation,488324,190.39,False
Month with fish,2019,5.9,Horror,Renee Williams,89,English,697.63,Ritter-Robertson,David Larsen,Adrian Grant,Norfolk Island,327138,280.49,False
Son,1998,7.3,Romance,Benjamin Holt,104,Hindi,124.67,Clark Ltd,Robert Compton,Mrs. Crystal Caldwell,Cameroon,868396,297.87,True
Order answer expert,1993,2.9,Fantasy,Michael Ali,134,Japanese,106.02,"Buchanan, Carter and Smith",Janet Cruz,Lisa King,French Southern Territories,393277,160.28,True
Young ground realize house,1984,1.9,Romance,Anthony Pierce,138,English,5.19,"Welch, Hubbard and Murphy",Amanda Marshall,Angela Simon,Chad,278074,164.91,False
Order,2016,6.4,Fantasy,Kayla Gregory,124,Hindi,347.4,Watson Group,Kenneth Bell,Anthony Clark,Antigua and Barbuda,582524,116.59,True
Subject lot success,1990,4.6,Sci-Fi,Cody Wolf,178,German,934.35,Jennings-Hill,Amanda Farmer,Jennifer Ryan,Monaco,128510,164.05,False
Size measure hand,1993,4.6,Romance,Joseph Ramirez,130,French,863.29,"Martinez, Valencia and Boyd",Sara Murphy,Melanie Jones,Ireland,539489,193.19,False
Least well,2002,5.5,Sci-Fi,Jessica Thompson,104,Hindi,302.78,Woods Inc,Debra Kelly,Peter Holden,Russian Federation,566335,243.37,False
Only history,2007,9.6,Sci-Fi,Yolanda Torres,104,German,98.18,Solis Group,Andrea Barnes,Claudia Berger,Ghana,522660,217.7,False
Growth feeling,1970,5.6,Action,James Moran,139,Spanish,576.58,"Jefferson, Robinson and Thompson",Roger Davis,Chad Young,Saint Martin,859548,239.63,False
Happy back,2001,4.7,Drama,Jon Allen,94,Korean,321.59,"Middleton, Bishop and Thomas",Samantha Howard MD,Joseph Lee,Finland,125156,225.06,True
Son safe consider,1974,2.7,Thriller,Sharon Hopkins,171,Spanish,939.46,"Lopez, Ayers and Brown",Zachary Vasquez,Jerry Harrison,Holy See (Vatican City State),836742,202.57,True
Civil,2020,3.6,Mystery,Jennifer Mejia,147,French,980.32,Shelton-Hill,Natasha Alexander,Jose Vega,Russian Federation,384730,135.06,True
Feeling everyone,2011,9.4,Drama,Miguel Adkins,144,French,303.19,Mcfarland-Baird,Laura Ryan,Barry Wells,Antarctica (the territory South of 60 deg S),792355,211.56,False
Hour answer,2003,2.4,Drama,Michael Bauer,166,French,881.43,"Wright, Nash and Gonzalez",Ashley Glover,Katelyn Patel,Kyrgyz Republic,543567,123.27,True
A want blood,2023,4.4,Mystery,Amber Farmer,153,Mandarin,330.34,"Clark, White and Kirk",Shannon Turner,Laura Hansen,Christmas Island,963107,90.35,True
Audience apply response,2000,7.7,Action,Charles Harrington,172,Japanese,838.13,Malone LLC,Robert Conner,Cory Butler,Slovakia (Slovak Republic),321096,16.09,True
Business personal population,1998,1.1,Romance,Rebecca Clark,143,Japanese,989.54,Griffith Inc,Andrew Martinez,Paul Simmons,Sierra Leone,881863,89.94,True
Draw argue write,2000,3.3,Mystery,Jermaine Mcdowell,107,English,560.24,"Sanchez, Rose and Williams",Rachel Harris,Patricia Torres,Malaysia,98078,286.86,False
Return,2004,8.0,Mystery,Nathaniel Owens,126,English,816.1,Williams-Herring,Anthony Stevenson,Dr. George Perez Jr.,Poland,755330,24.84,False
Push still talk,2024,6.3,Mystery,Ashley Roberson,150,Japanese,379.19,"Weber, Farmer and Stephenson",Mark Hampton,Amanda Smith,Bangladesh,566980,194.02,False
Animal become,1978,2.7,Horror,Mark Newman,134,German,679.14,Warner-Brown,Karen Johnson,Duane Thomas,Djibouti,360702,198.05,False
Owner choice,2017,6.3,Animation,Abigail Silva,179,French,398.99,"Hodge, Norman and Price",Gregory Massey,Heather Smith,Nauru,484388,77.7,False
Event employee region,1989,5.3,Comedy,Kathy Mcdaniel,102,French,709.53,Vasquez Inc,James Sanchez,Dennis Torres,Saint Martin,861923,44.33,True
Smile two,1990,1.8,Thriller,Robert Harper,103,Japanese,712.79,Brock and Sons,Dominique Carter,Michael Garrett,Micronesia,688820,32.05,False
Land field drug,2004,4.6,Drama,Kristen Byrd,129,French,10.95,"Hardin, Hamilton and Esparza",Angela Yates,Sean Paul,Netherlands Antilles,498082,94.8,True
Democratic hotel,1972,3.6,Romance,Brian Coleman,128,French,580.15,Choi and Sons,Christopher Clark,David Best,French Guiana,392538,297.56,False
Line walk between,1974,1.8,Comedy,Yolanda Torres,117,Japanese,187.67,Krause LLC,Matthew Carney,Edward Patel,El Salvador,478659,213.66,True
Father professor ahead,2006,2.0,Comedy,William Smith,138,Korean,457.76,Perry Ltd,Andrew Daniel,Michael Hobbs,South Georgia and the South Sandwich Islands,961290,219.04,True
Face cut should,1986,3.4,Thriller,Yesenia Leon,104,German,197.9,Dalton-White,Chad Ray,Steven Thomas,Switzerland,155193,93.39,True
Pattern voice detail,1991,1.5,Fantasy,Mr. Matthew Tanner MD,137,Hindi,527.94,Anderson-Evans,Kenneth Wells,Denise Franklin,Zimbabwe,542951,49.05,False
Present image major,1971,1.1,Romance,Christine Thompson,158,English,982.77,Cook PLC,Candice Wood,Tyler Richardson,Myanmar,904478,94.39,True
As when,2005,6.8,Sci-Fi,Joseph Ramirez,140,German,622.32,Roberson-Moran,Brian Phillips,Brenda Lambert,Estonia,211902,78.04,True
Color question accept,1978,6.0,Mystery,Chloe Ryan,131,English,197.76,Sanford LLC,Andrea Mcdaniel,Joshua Reid,Brazil,657179,185.87,True
Thought site let always,2013,8.4,Romance,Ashley Roberson,166,Hindi,487.28,"Taylor, Reed and Williams",Bryan Singh,Amy Lee MD,Turkey,87656,227.71,False
Down suddenly,2016,4.7,Animation,Daniel Walker,138,English,204.59,Lawson-White,Frances Evans,Kimberly Powell,Comoros,240327,175.42,True
Early hospital,1999,9.7,Fantasy,Anthony Gomez,104,French,599.93,Hunt-Park,Elizabeth Campbell,Nicole Mitchell,Spain,677339,165.3,False
From pass,1978,2.2,Sci-Fi,Melissa Fisher,162,French,736.27,Evans and Sons,Lynn Lynch,Daniel Chandler,Niger,976488,92.26,False
Several its development,1971,9.9,Drama,Rebecca Clark,172,German,437.34,Price Group,Mrs. Danielle King,Ryan White,Honduras,996021,118.39,False
Really nearly point,2010,9.1,Thriller,Daniel Compton,172,English,403.18,Bates PLC,Michelle Gay,Daniel Reyes,Peru,812962,278.47,True
Yes foot pass,1981,5.5,Horror,Jerry Perez,90,French,943.62,Grimes Group,Destiny Brooks,Thomas Garcia,Trinidad and Tobago,153612,97.57,False
My itself yard,1987,6.0,Animation,Kathy Mcdaniel,168,Korean,291.53,"Esparza, Campos and Arnold",Mrs. Samantha Johnson,Jorge Martinez,Namibia,570182,216.7,True
Accept quickly stock,2011,9.7,Fantasy,Miguel Adkins,108,German,644.19,"Hoffman, Smith and Gonzales",Sheila Mckenzie,Rachael Smith,Guyana,318403,295.92,False
Floor gun order fact,2015,9.8,Comedy,Laura Price,127,Japanese,519.14,"Hall, Williams and Walton",Jennifer Williams,Antonio Stephens,Nigeria,987192,268.18,False
And,1973,4.7,Fantasy,Teresa Gates,87,Hindi,151.58,Carter-Kirk,Daniel Medina,Gregory Price,Zimbabwe,493882,186.75,True
Best parent,2015,4.2,Horror,Elizabeth Cervantes,98,German,369.17,Miller-Daniels,Annette Taylor,Megan Chen,Greenland,330834,239.7,True
Democratic,2009,5.6,Mystery,Brian Coleman,112,Japanese,712.06,Lambert-Cunningham,Tonya Guzman,Victor Cunningham,Japan,242844,92.3,True
Color record force,1988,4.3,Comedy,Stephanie Brennan DVM,136,French,467.14,"Benson, Wilson and Smith",Charles Farmer,George Bell,Botswana,457928,155.83,True
Voice kitchen city,1981,1.7,Mystery,Bridget Perez,85,French,327.95,Huffman PLC,Katherine Holloway,John Holland,Finland,250021,104.96,False
Hour two serve,2003,4.3,Sci-Fi,Steven Woodward,136,Hindi,836.18,Villarreal Inc,Derrick Murray,Tasha Lane,Barbados,496140,215.66,False
Tough call,2020,1.0,Comedy,Renee Williams,135,Korean,995.55,Gibson-Garcia,Carly Chase,Thomas Martin,Liberia,367374,84.22,True
American,2015,6.3,Fantasy,Abigail Silva,137,Hindi,311.19,Roberson and Sons,Ashley Scott,Christopher Sparks,Peru,671967,78.78,False
Style tax find,1978,9.1,Sci-Fi,Mark Newman,145,Hindi,14.92,"Anderson, Gould and Wilson",Peter Austin,Patricia Spencer,Kazakhstan,616431,13.83,False
Company fill industry,1983,8.5,Horror,Russell Palmer,177,Spanish,3.07,Leonard and Sons,Crystal Rice,Tammy Hood,Vanuatu,913337,81.37,False
House board myself pretty,1994,6.6,Romance,Cindy Davis,148,Japanese,426.54,Reeves Group,Bruce Rubio,Brandy Harris,Grenada,845529,106.54,True
Help,2021,1.6,Thriller,Nicole Woods,178,Spanish,578.5,"Hoffman, Walker and Perez",Johnny Hamilton,Dylan Schmidt,Reunion,27328,297.96,False
Religious line,1990,3.2,Romance,Alicia Thomas,164,French,27.27,Knight-Arnold,Robert Jones,Charles Costa,Jamaica,876001,299.81,True
Nothing until,2017,5.4,Action,Emily Doyle,80,Japanese,687.45,Rogers-Williams,Jeffery Morgan,James Vargas,Gibraltar,241304,116.38,False
